word,count
च,3190
न,1177
इव,818
ते,634
स,526
तु,476
हि,471
मे,431
यथा,408
अब्रवीत,405
तदा,358
तवं,324
आस,321
तव,311
सह,310
मम,306
तत्र,305
एव,293
अपि,293
चैव,288
उवाच,287
इति,286
तस्य,271
तथा,268
तं,268
वा,257
मया,252
इदं,244
सर्वे,242
किं,237
तद,231
मां,213
ह,207
वाक्यं,203
रामं,193
चापि,182
ददर्श,179
वाक्यम,178
राजा,176
अहं,171
तवया,171
ततॊ,169
ततः,168
तत,167
तवां,164
दृष्ट्वा,162
पुनर,162
रामॊ,156
नाम,149
हय,148
पुनः,142
अर्हसि,142
रामस्य,137
रामः,137
सर्वं,136
सा,133
वै,132
राम,130
कथं,130
तां,128
तम,128
यत्र,126
तवम,126
चित,126
जगाम,123
इदम,118
भविष्यति,116
तेन,116
अहम,114
कृत्वा,112
यद,110
वचनम,108
सीतां,107
माम,107
राघवः,106
सम,104
सीता,103
तान,101
बभूव,100
सॊ,99
चिद,99
रणे,96
वचः,93
वचनं,93
यदि,92
शरुत्वा,92
सर्वान,92
एष,91
तौ,90
इत्य,89
गतः,87
रावणः,86
अद्य,86
ऽपि,85
एतद,84
लक्ष्मणं,81
रावणं,80
शरीमान,78
वीर,76
रामेण,76
वनम,76
चकार,76
वने,75
लङ्कां,75
नः,75
राज्यं,75
येन,74
इह,74
रामम,74
परति,72
रक्षसां,72
राघव,72
महातेजा,72
समरे,72
यॊ,71
यत,70
धर्मात्मा,70
शीघ्रं,69
ये,68
तवाम,68
भूमौ,67
सहसा,67
परत्युवाच,66
एवं,66
परविवेश,65
पश्यामि,65
भवेत,65
वनं,65
राजन,64
ततस,63
किम,62
रावणॊ,62
आसाद्य,62
सौम्य,61
रावणस्य,61
राघवं,61
संशयः,61
मा,61
भरात्रा,60
इच्छामि,59
लक्ष्मणः,59
भवान,58
ययौ,58
सर्वम,58
कव,57
युद्धे,57
पश्य,57
तस्मिन,57
कुरु,57
वानराः,56
बलं,56
महाबलः,55
ऽयं,55
युधि,55
जग्राह,55
ऽहं,55
भरतं,55
तन,55
कश,54
तस्मात,54
कषिप्रं,54
विना,54
सवयम,54
ऽभवत,53
महत,52
हनूमान,52
कर्म,52
तेषां,52
अस्य,52
नित्यं,52
वैदेहीं,52
कच,51
काकुत्स्थ,51
यस्य,51
लॊके,51
पपात,50
के,50
अब्रवीद,50
पुरीं,50
कर्तुम,49
सर्वतः,49
समन्ततः,49
कषिप्रम,49
वीर्यवान,49
साधु,49
सीतया,49
आगतः,49
ऽसमि,49
तात,48
गत्वा,48
तस्माद,48
ददौ,48
लक्ष्मण,48
महात्मनः,47
भद्रं,47
भव,47
तच,47
पराञ्जलिर,46
ताम,45
हनुमान,45
भरतः,45
नॊ,44
पुरा,44
राघवम,44
घॊरं,44
कृतम,44
काले,44
पितुर,44
सुग्रीवं,44
सुग्रीवॊ,44
भरातरं,43
मध्ये,43
आदाय,43
भयं,43
अयं,43
सर्वा,43
गमिष्यामि,43
महद,42
पितरं,42
वेगेन,42
कॊ,42
उभौ,42
उत्तमम,41
वैदेह्या,41
संयुगे,41
महान,41
सदा,41
दृश्यते,41
कार्यं,41
कृतं,41
महता,40
अथ,40
पुत्रॊ,40
पराप्य,40
तथैव,40
पिता,40
अर्हति,40
परं,40
चाप्य,40
चिन,39
आस्थाय,39
राघवॊ,39
दरष्टुम,39
लङ्काम,39
नु,39
लक्ष्मणॊ,39
यः,38
सः,38
शृणु,38
राक्षसान,38
राक्षसं,38
तेजसा,38
तानि,38
महाबाहॊ,38
सौमित्रे,38
भुवि,38
असि,37
उक्त्वा,37
अत्र,37
पुत्रं,37
चक्रे,37
सार्धं,37
वाली,37
सहस्रशः,37
वैदेही,36
चेदम,36
मयि,36
कौसल्या,36
उपागमत,36
महायशाः,36
तस्थौ,36
रामाय,36
अयॊध्यां,36
राघवस्य,36
लक्ष्मणेन,36
इच्छसि,36
वीरॊ,36
ऽयम,35
मैथिली,35
तयक्त्वा,35
वानरान,35
भयम,35
जग्मुर,35
लङ्का,35
चन,35
ऽदय,35
महातेजाः,34
यन,34
हत्वा,34
जीवितम,34
राक्षसानां,34
पराणान,34
उपचक्रमे,34
आत्मनः,34
वृतः,34
सथितः,34
अप्य,34
वापि,34
कथम,34
राक्षसाः,34
रामे,34
विभीषणः,34
वीरः,34
करुद्धॊ,34
सुग्रीवः,34
भूत्वा,33
यस,33
सीताम,33
गच्छ,33
भर्तारं,33
जीवितं,33
महात्मना,33
दरष्टुं,33
सुखं,33
मुमॊच,33
कस्य,33
भूयः,32
वानरः,32
आरुरॊह,32
नास्ति,32
गतॊ,32
रघुनन्दन,32
चिन्तयाम,32
देवि,32
ननाद,32
वयं,31
मन्ये,31
शीघ्रम,31
अस्मिन,31
गृहीत्वा,31
आह,31
भार्या,31
राक्षसः,31
बलम,31
चिक्षेप,31
दिशः,31
एवम,31
तवयि,31
ऽथ,31
हनूमन्तं,31
मनसा,31
वाचा,31
शरणं,31
सयाद,31
एते,30
वयम,30
ऽसि,30
दिशॊ,30
निपपात,30
शिरसा,30
वक्तुम,30
देवी,30
वानराणां,30
चिच्छेद,30
महाकपिः,29
परमं,29
हरयॊ,29
बभूवुर,29
मनः,29
भर्ता,29
ऽसय,29
अथाब्रवीत,29
तावद,29
पुरस्कृत्य,29
सुखम,29
दिव्यं,29
तपसा,29
परुषं,29
वीरौ,29
जघान,28
पुरी,28
पूर्वं,28
परियं,28
दिशम,28
पराप्तं,28
राजानं,28
नैव,28
कृतः,28
भरतॊ,28
रावणेन,28
भृशम,28
सर्वशः,28
एतत,27
धर्मेण,27
सत्यं,27
चक्रुर,27
भगवान,27
पराप्तॊ,27
सीते,27
युक्तं,27
अब्रुवन,27
रामस,27
सवं,27
दुःखं,27
शरैः,27
या,26
महाबलम,26
तूर्णं,26
शरिया,26
रामलक्ष्मणौ,26
अनेन,26
हतः,26
साध्व,26
परययौ,26
भराता,26
रथं,26
सर्वैर,26
धर्मं,26
वशम,26
कपिः,26
सर्वाणि,26
भृशं,26
दृष्टा,26
कृता,26
सर्वाः,26
नदीम,26
भूयॊ,25
इमं,25
विशेषतः,25
वानरा,25
भरातरौ,25
गन्तुम,25
सर्वेषां,25
दिष्ट्या,25
वरम,25
रूपं,25
वर्तते,25
चास्य,25
बहुभिर,25
विवेश,25
समीक्ष्य,25
धर्मम,25
आत्मानं,25
सवयं,25
युद्धं,25
आगम्य,25
वॊ,25
मुहुर,25
लॊकेषु,25
लेभे,25
अनुत्तमम,25
कैकेयी,25
पलवंगमाः,25
कर्तुं,24
समासाद्य,24
पादौ,24
नात्र,24
दश,24
मैथिलीं,24
ऽसतु,24
लक्ष्मणस्य,24
परेक्ष्य,24
लक्ष्मणम,24
मारुतात्मजः,24
विश्वामित्रॊ,24
करुद्धः,24
शरैर,23
आजगाम,23
धनुः,23
परियम,23
मैथिलीम,23
करियतां,23
केन,23
परतिजग्राह,23
गृह्य,23
ऽसौ,23
सैन्यं,23
वरं,23
वरः,23
अद्यैव,23
कुरुष्व,23
ददृशुर,23
पुत्र,23
हन्तुं,23
लॊकान,23
करिष्यामि,23
ऽबरवीत,23
उत्पपात,23
राज्यम,23
परगृह्य,23
विश्वामित्रं,23
विद्यते,23
एनं,23
पुरीम,23
मुहूर्तम,22
उवाचेदं,22
पापं,22
गच्छति,22
नूनं,22
दशरथॊ,22
राक्षसा,22
उत्सहे,22
हतॊ,22
गता,22
भार्यां,22
सर्वतॊ,22
रथम,22
महीतले,22
राजानम,22
जञात्वा,22
किमर्थं,22
कार्यम,22
गमिष्यसि,22
